JobTitle,Company,Location,PostDate,Summary,JobUrl
FrontEnd,TELUS,"Toronto, ON","Posted
Posted 21 days ago","Strong data analysis skills (SQL).
A degree and/or relevant experience working with data, databases or data pipelines.
A passion for data quality.",https://ca.indeed.com/rc/clk?jk=84addff6affcdbb5&fccid=ed81336789a877c2&vjs=3
FrontEnd,QuadReal Property Group,"Toronto, ON","Posted
Posted 21 days ago","Proficient in data wrangling and building automation scripts using SQL, Excel, or similar.
Reporting to the Enterprise Content Management (ECM) Lead, the…",https://ca.indeed.com/rc/clk?jk=dacffba395471c88&fccid=4c0dd9bbeab79d21&vjs=3
FrontEnd,Ontario Health,Ontario,"Posted
Posted 1 day ago","Inform and contextualize primary Ontario data analysis using peer-reviewed research and grey literature.
Map recommended indicators to existing data sources and…",https://ca.indeed.com/rc/clk?jk=9df500c23cca8a06&fccid=942edb5b2679caa0&vjs=3
FrontEnd,Elections Ontario,"Toronto, ON","Posted
Posted 10 days ago","Perform quality control checks on register data, validate and correct data on an on-going basis, while ensuring data integrity, confidentiality, and security.",https://ca.indeed.com/company/Elections-Ontario/jobs/Data-Analyst-3f6dfe73936043a6?fccid=d2a5f73ca2ac8b70&vjs=3
FrontEnd,KPMG,"Toronto, ON","Posted
Posted 30+ days ago","Architect data pipelines to support streaming data, batch data, etc.
Independent ability to review the data quality and data definitions, and perform data…",https://ca.indeed.com/rc/clk?jk=24b239c04294ec7f&fccid=2dd390c3a48a7ed0&vjs=3
FrontEnd,SickKids,"Toronto, ON","Posted
Posted 1 day ago","Formulation of data analysis plans.
Evidence of advanced quantitative health data analysis skills, including coursework and practical experience.",https://ca.indeed.com/rc/clk?jk=4fca78e99eeaae08&fccid=9645047fb7b1d4e3&vjs=3
FrontEnd,HUB International,"Toronto, ON","Posted
Posted 30+ days ago",Devise processes for data collection and monitoring to uphold data integrity; reconcile data from a number of sources.,https://ca.indeed.com/rc/clk?jk=9a7123461a1bd3a5&fccid=facab5dee1aa0a96&vjs=3
FrontEnd,TransLink,"Metro Vancouver Regional District, BC","Posted
Posted 30+ days ago","Requires three (3) years recent related experience in data warehousing, business intelligence, information management or analytics.",https://ca.indeed.com/rc/clk?jk=fb971dfd4807e48d&fccid=966bd00de3e8ab9d&vjs=3
FrontEnd,Rakuten,"Toronto, ON","Posted
Posted 6 days ago","Experience with data preprocessing and validation.
Knowledge of data engineering best practices.
Hands on experience developing & deploying data pipelines.",https://ca.indeed.com/rc/clk?jk=39a7d30a003163fc&fccid=b6f507a4eff51f27&vjs=3
FrontEnd,FedEx Supply Chain,"Coteau-du-Lac, QC","Posted
Posted 30+ days ago","Performs root-cause analysis on data, present findings and make recommendations.
The Analyst, Data II is part of a team that shares the responsibility for…",https://ca.indeed.com/rc/clk?jk=9c7c25b2b7635638&fccid=130b3e79d76146f6&vjs=3
FrontEnd,Slalom Consulting,"Vancouver, BC","Posted
Posted 3 days ago","Bachelor’s Degree and demonstrated ability in data analytics, data engineering, software engineering, data analysis, or equivalent professional experience in…",https://ca.indeed.com/rc/clk?jk=b21a48ef41979264&fccid=a321096b9f1b3c50&vjs=3
FrontEnd,"Computer Generated Solutions, Inc. - Canada","Saint John, NB","Posted
Today","Comfortable working with large volumes of data and connecting disparate data source.
Prepare and distribute daily, weekly, monthly, and quarterly analysis to…",https://ca.indeed.com/rc/clk?jk=66f5df82058826a9&fccid=82fe070756cef957&vjs=3
FrontEnd,BC Public Service,"Victoria, BC","Posted
Posted 22 days ago","To provide data analysis, data design, data modeling and data quality services.
The branch is responsible for the development and implementation of a strategic…",https://ca.indeed.com/rc/clk?jk=ecb51b7d814046ea&fccid=65dd05622a756445&vjs=3
FrontEnd,Xylem,"Remote in Mississauga, ON
+2 locations","Posted
Posted 6 days ago","Experience in non-destructive testing data collection and data analysis desirable.
Produce technical reports based on the analysis of an electromagnetic data…",https://ca.indeed.com/rc/clk?jk=439975af2fa7fea1&fccid=68ec8a8ee6cf5ac6&vjs=3
FrontEnd,University of Victoria,"Victoria, BC","Posted
Posted 2 days ago","Experience developing data products using computational and data analysis/visualization packages such as Matlab, R, IDL and Mathematica or their public domain…",https://ca.indeed.com/rc/clk?jk=69b72a62e135920f&fccid=95737967a35b2629&vjs=3
FrontEnd,Cognizant Technology Solutions,"Remote in Mississauga, ON","Posted
Posted 20 days ago","Perform analysis of system data to identify patterns, exceptions, and erroneous data.
Investigate Manuplitaion of System data.
Hands on experience in SQL Query.",https://ca.indeed.com/rc/clk?jk=2cfab92db9552301&fccid=2df6a1e69a70a1e7&vjs=3
